type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,14:04:45,52.36111561,4.948299034,-1.9,1,60.87,91.7,0.77,4.11,,,
T,14:04:55,52.36113564,4.948286796,-1.6,0.9,70.03,339.5,0.773,2.38,,,
T,14:05:09,52.36111569,4.948250251,-1.3,0.9,69.95,228.2,0.776,3.34,,,
T,14:05:17,52.36111284,4.948229631,-1.7,0.6,92.59,257.2,0.777,1.44,,,
T,14:05:32,52.36111058,4.948236253,-2,0.1,483.91,119.2,0.778,0.52,,,
T,14:05:41,52.36111636,4.948218903,-1.9,0.5,111.46,298.6,0.779,1.35,,,
T,14:05:52,52.3611488,4.948243881,-1.9,1.3,45.94,25.2,0.783,3.99,,,
T,14:06:00,52.36121208,4.948288808,-1.4,3.5,17.37,23.4,0.791,7.68,,,
T,14:06:08,52.36128207,4.948320743,-0.7,3.6,16.49,15.6,0.799,8.09,,,
T,14:06:18,52.36137637,4.948350582,-1.5,3.8,15.59,10.9,0.81,10.69,,,
T,14:06:27,52.36145642,4.948356869,-1.1,3.6,16.82,2.7,0.819,8.92,,,
T,14:06:34,52.36150771,4.948366005,-1.1,3,20.32,6.2,0.824,5.74,,,
T,14:06:46,52.36159363,4.9484313,-0.9,3.2,18.97,24.9,0.835,10.54,,,
T,14:06:54,52.36164543,4.948503217,-1.2,3.4,17.63,40.3,0.842,7.56,,,
T,14:07:04,52.36169539,4.948607404,-1.6,3.2,18.49,51.9,0.851,9.02,,,
T,14:07:12,52.3617383,4.94872936,-1.4,4.3,13.91,60,0.861,9.58,,,
T,14:07:15,52.36175632,4.948779149,-0.9,4.7,12.69,59.3,0.865,3.94,,,
T,14:07:24,52.36183763,4.94885576,-0.6,4.2,14.36,29.9,0.875,10.44,,,
T,14:07:29,52.3618844,4.948869841,-0.8,3.8,15.75,10.4,0.881,5.29,,,
T,14:07:39,52.3619647,4.948882582,-1.4,3.2,18.57,5.5,0.89,8.98,,,
T,14:07:47,52.36197534,4.948919127,-1.8,1.2,48.36,64.5,0.892,2.76,,,
T,14:07:56,52.36196159,4.949027086,-1.9,3,19.97,101.8,0.9,7.51,,,
T,14:08:02,52.3619476,4.949131105,-2.2,4.4,13.78,102.4,0.907,7.26,,,
T,14:08:08,52.36195346,4.949213332,-1.6,3.4,17.73,83.3,0.913,5.64,,,
T,14:08:18,52.36193905,4.94930042,-1.8,2.2,27.12,105.2,0.919,6.15,,,
T,14:08:26,52.36193402,4.949289439,-1.7,0.4,142.73,233.1,0.92,0.93,,,
T,14:08:36,52.36193611,4.949309472,-2.5,0.5,120.38,80.3,0.921,1.38,,,
T,14:08:45,52.3618994,4.949282482,-1.7,1.8,33.48,204.2,0.926,4.48,,,
T,14:08:52,52.36189035,4.949311651,-1.5,1.1,52.37,116.9,0.928,2.23,,,
T,14:08:58,52.36186638,4.949384322,-1.2,3.4,17.78,118.4,0.934,5.62,,,
T,14:09:02,52.36183427,4.949425561,-1.6,4.1,14.67,141.9,0.938,4.54,,,
T,14:09:11,52.36182748,4.949457999,-2.3,0.9,64.23,108.9,0.941,2.34,,,
T,14:09:22,52.36183452,4.949468058,-2.1,0.3,176.14,41.1,0.942,1.04,,,
T,14:09:28,52.36183218,4.949550116,-1.6,3.4,17.87,92.7,0.947,5.6,,,
