type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:45:39,52.35918148,4.952666173,-7,1.5,40.21,310.8,0.144,0.41,,,
T,13:45:40,52.35918224,4.952662736,-7,0.9,67.01,289.8,0.144,0.25,,,
T,13:45:41,52.35918224,4.952659132,-6.9,0.9,67.88,270,0.145,0.25,,,
T,13:45:42,52.35918467,4.952651085,-7.5,2.2,27.26,296.3,0.145,0.61,,,
T,13:45:43,52.35919146,4.952641278,-7,3.6,16.53,318.6,0.146,1.01,,,
T,13:45:44,52.35919615,4.952631472,-7.3,3.1,19.65,308.1,0.147,0.85,,,
T,13:45:45,52.35920135,4.952621665,-6.8,3.2,18.86,310.9,0.148,0.88,,,
T,13:45:46,52.35920789,4.952612696,-7,3.4,17.54,320,0.149,0.95,,,
T,13:45:47,52.35921417,4.952603895,-7.3,3.3,18.09,319.5,0.15,0.92,,,
T,13:45:48,52.35921644,4.952592831,-6.9,2.9,20.97,288.5,0.151,0.79,,,
T,13:45:49,52.35921744,4.952586209,-7,1.7,35.86,284,0.151,0.46,,,
T,13:45:50,52.35921761,4.952579336,-7.2,1.7,35.57,272.3,0.152,0.47,,,
T,13:45:51,52.35921937,4.95258797,-7,2.2,26.89,71.5,0.152,0.62,,,
T,13:45:52,52.35921979,4.952589981,-7.5,0.5,115.13,71.2,0.152,0.14,,,
T,13:45:53,52.35921996,4.952592161,-7.1,0.5,111.38,82.8,0.153,0.15,,,
T,13:45:54,52.35922096,4.952594172,-7,0.6,94.19,50.7,0.153,0.18,,,
T,13:45:55,52.35922155,4.952596771,-6.9,0.7,88.34,69.7,0.153,0.19,,,
T,13:45:56,52.35922289,4.952598447,-6.9,0.7,88.69,37.4,0.153,0.19,,,
T,13:45:57,52.35922214,4.952599704,-7.2,0.4,138.97,134.5,0.153,0.12,,,
T,13:45:58,52.35922138,4.952599453,-6.6,0.3,194.56,191.5,0.153,0.09,,,
T,13:45:59,52.35922147,4.952600542,-7.2,0.3,222.75,82.8,0.153,0.07,,,
T,13:46:00,52.35922365,4.952601381,-7.4,0.9,66.9,13.2,0.154,0.25,,,
T,13:46:01,52.35922465,4.952601967,-7.6,0.4,140.24,19.6,0.154,0.12,,,
T,13:46:02,52.35922214,4.952601129,-7.2,1,58.36,191.5,0.154,0.29,,,
T,13:46:03,52.35922189,4.95260247,-7.1,0.3,174.43,107.1,0.154,0.1,,,
T,13:46:04,52.35922163,4.952602638,-7.1,0.1,551.42,157.9,0.154,0.03,,,
T,13:46:05,52.35922155,4.952601716,-7,0.2,262.46,261.5,0.154,0.06,,,
T,13:46:06,52.35922138,4.952601884,-7.1,0.1,762.05,148.6,0.154,0.02,,,
T,13:46:07,52.35922071,4.9526018,-6.9,0.3,222.7,184.4,0.154,0.07,,,
T,13:46:08,52.3592192,4.952600626,-6.9,0.7,89.63,205.4,0.155,0.19,,,
T,13:46:09,52.35921904,4.952600375,-7.1,0.1,657.89,222.5,0.155,0.03,,,
T,13:46:10,52.35921895,4.952601045,-7.2,0.2,357.44,101.6,0.155,0.05,,,
T,13:46:11,52.35921862,4.952600626,-7,0.2,354.75,217.4,0.155,0.05,,,
T,13:46:12,52.35921837,4.952599285,-7.1,0.3,174.43,252.9,0.155,0.1,,,
T,13:46:13,52.35921686,4.95259895,-7.1,0.6,98.36,187.7,0.155,0.17,,,
T,13:46:14,52.35921518,4.952599201,-7.2,0.7,88.98,174.8,0.155,0.19,,,
T,13:46:15,52.35921644,4.952599453,-7.4,0.5,118.25,7,0.155,0.14,,,
T,13:46:16,52.35921577,4.952600626,-7.1,0.4,152.41,133.1,0.155,0.11,,,
T,13:46:17,52.35921158,4.952601632,-7.6,1.7,35.36,171.7,0.156,0.47,,,
T,13:46:18,52.35920982,4.952607248,-7.2,1.5,38.78,117.2,0.156,0.43,,,
T,13:46:19,52.35921091,4.952612696,-6.7,1.4,42.68,71.9,0.157,0.39,,,
T,13:46:20,52.35921292,4.952617139,-6.2,1.4,44.28,53.4,0.157,0.38,,,
T,13:46:21,52.35921828,4.952618563,-6.5,2.2,27.56,9.2,0.158,0.6,,,
T,13:46:22,52.3592249,4.952618983,-6.7,2.7,22.6,2.2,0.158,0.74,,,
T,13:46:23,52.35923211,4.952622084,-7,3,20.09,14.7,0.159,0.83,,,
T,13:46:24,52.35923924,4.952621246,-6.4,2.9,20.97,355.9,0.16,0.79,,,
T,13:46:25,52.35924259,4.952617055,-7.1,1.7,35.48,322.6,0.16,0.47,,,
T,13:46:26,52.35924603,4.952610182,-7,2.2,27.57,309.3,0.161,0.6,,,
T,13:46:27,52.3592498,4.952603728,-7.3,2.2,27.42,313.7,0.162,0.61,,,
T,13:46:28,52.35925592,4.952594759,-7.1,3.3,18.22,318.2,0.163,0.91,,,
T,13:46:29,52.35925935,4.952593334,-6.9,1.4,42.24,345.8,0.163,0.39,,,
